trip_duration_days,miles_traveled,total_receipts_amount,reimbursement,dataset
14,245.0,1630.06,,private
5,286.0,1233.52,,private
4,77.0,895.96,,private
8,191.0,766.46,,private
2,241.0,918.64,,private
2,778.0,1420.74,,private
1,749.0,2354.17,,private
7,227.0,540.16,,private
6,832.0,1663.49,,private
7,848.0,200.25,,private
9,748.0,455.86,,private
6,780.0,1489.85,,private
7,120.0,2150.42,,private
5,67.0,846.38,,private
13,559.0,2320.49,,private
9,1100.0,347.01,,private
5,596.0,710.14,,private
9,348.0,1190.46,,private
7,119.0,182.73,,private
12,1042.0,347.8,,private
6,400.0,834.93,,private
7,683.0,1657.6,,private
10,142.0,246.28,,private
13,985.0,341.57,,private
2,697.0,720.17,,private
14,955.0,2406.18,,private
1,1040.0,1618.05,,private
13,145.0,968.78,,private
13,765.0,876.94,,private
7,658.0,2149.8,,private
11,97.0,522.99,,private
14,434.0,2023.28,,private
13,198.0,2341.11,,private
11,556.0,363.1,,private
13,572.0,10.34,,private
7,449.0,1763.9,,private
9,331.0,2070.01,,private
3,478.0,1010.31,,private
12,208.0,1540.87,,private
14,115.0,1272.87,,private
12,297.0,2372.64,,private
5,540.0,1556.64,,private
4,207.0,2458.49,,private
14,145.0,1235.63,,private
1,984.0,564.51,,private
9,462.0,964.16,,private
3,121.0,2319.92,,private
4,717.0,1735.25,,private
8,1045.0,283.42,,private
4,666.0,2188.11,,private
13,412.0,1319.85,,private
5,1060.0,273.14,,private
8,113.0,2418.47,,private
14,738.0,128.67,,private
8,820.0,1055.48,,private
12,9.0,1415.28,,private
7,625.0,836.48,,private
1,202.0,761.3,,private
8,352.0,836.61,,private
14,778.0,1213.02,,private
12,213.0,2322.06,,private
2,964.0,597.26,,private
10,950.0,2113.39,,private
5,293.0,1170.63,,private
9,1089.0,53.53,,private
8,936.0,893.86,,private
8,106.0,1837.68,,private
1,925.0,2262.04,,private
2,593.0,24.75,,private
11,614.0,111.0,,private
12,649.0,2065.18,,private
14,473.0,1033.67,,private
8,554.0,480.4,,private
5,1043.0,330.74,,private
14,432.0,1448.6,,private
6,952.0,463.65,,private
14,1189.0,321.94,,private
12,542.0,2249.76,,private
9,580.0,1275.75,,private
8,152.0,1219.63,,private
9,309.0,460.93,,private
13,481.0,2069.53,,private
12,1087.0,699.79,,private
14,138.0,1319.25,,private
7,907.0,2061.37,,private
14,791.0,552.2,,private
4,477.0,2198.19,,private
4,1130.0,1304.39,,private
11,858.0,1060.51,,private
7,283.0,380.62,,private
12,422.0,2321.63,,private
9,843.0,874.3,,private
4,600.0,1346.45,,private
9,603.0,877.96,,private
12,965.0,2345.38,,private
2,642.0,632.56,,private
7,525.0,1992.53,,private
2,1106.0,1109.85,,private
7,1103.0,2390.78,,private
8,1017.0,1332.77,,private
4,1162.0,1165.14,,private
6,510.0,1568.37,,private
4,512.0,1317.65,,private
9,1152.0,2070.68,,private
11,256.0,1501.78,,private
9,400.0,604.22,,private
2,446.0,892.69,,private
2,138.0,2401.44,,private
5,764.0,728.66,,private
4,426.0,1521.33,,private
11,506.0,1571.75,,private
11,1046.0,1099.46,,private
3,958.0,1206.36,,private
10,30.0,869.54,,private
13,813.0,25.12,,private
5,328.0,851.76,,private
10,196.0,1145.73,,private
4,1044.0,764.26,,private
8,909.0,1065.44,,private
14,68.0,2216.81,,private
12,465.0,1932.45,,private
3,33.0,1537.58,,private
7,672.0,1279.62,,private
8,727.0,1037.24,,private
1,258.0,187.35,,private
14,1018.0,1740.67,,private
1,675.0,1989.7,,private
7,681.0,1212.42,,private
9,471.0,1924.01,,private
7,791.0,1427.08,,private
14,509.0,1357.03,,private
5,748.0,334.13,,private
6,61.0,433.64,,private
12,293.0,714.34,,private
6,224.0,449.44,,private
14,101.0,2119.72,,private
6,768.0,1967.49,,private
11,866.0,1224.07,,private
4,162.0,253.47,,private
1,1138.0,1413.97,,private
5,732.0,1542.85,,private
9,455.0,1134.02,,private
11,21.0,1978.76,,private
3,604.0,2159.71,,private
11,737.0,504.04,,private
8,909.0,2084.56,,private
11,571.0,327.26,,private
9,522.0,1351.55,,private
13,202.0,1124.59,,private
2,1124.0,1367.83,,private
14,587.0,2002.28,,private
10,665.0,2386.27,,private
9,121.0,57.81,,private
8,622.0,2309.96,,private
5,131.0,461.6,,private
9,406.0,1553.75,,private
13,993.0,833.49,,private
13,308.0,1396.63,,private
5,288.0,596.76,,private
3,738.0,1352.85,,private
11,620.0,604.47,,private
12,324.0,354.97,,private
13,69.0,2402.65,,private
13,125.0,164.64,,private
11,117.0,1449.35,,private
12,421.0,1156.8,,private
12,122.0,2499.74,,private
13,902.0,1805.97,,private
13,395.0,2080.24,,private
8,141.0,2173.95,,private
12,749.0,358.9,,private
10,882.0,145.96,,private
5,1052.0,1256.63,,private
11,156.0,848.03,,private
4,616.0,1896.26,,private
5,1162.0,758.67,,private
2,409.0,722.18,,private
1,83.0,1652.36,,private
13,531.0,658.32,,private
7,784.0,222.22,,private
10,970.0,2139.95,,private
8,113.0,1018.79,,private
10,1007.0,1328.27,,private
2,164.0,576.55,,private
13,670.0,1064.88,,private
8,70.0,2313.66,,private
6,1177.0,2301.83,,private
13,51.0,2453.23,,private
1,546.0,254.8,,private
13,72.0,178.62,,private
10,741.0,1759.38,,private
2,683.0,253.52,,private
11,390.0,573.71,,private
2,1149.0,1784.39,,private
3,860.0,1178.75,,private
12,358.0,1882.65,,private
2,476.0,1763.38,,private
11,809.0,2189.02,,private
2,317.0,1832.14,,private
6,748.0,1367.4,,private
8,430.0,100.08,,private
3,1047.0,1477.38,,private
6,106.0,1547.44,,private
12,203.0,711.88,,private
2,1119.0,1356.53,,private
10,884.0,755.47,,private
12,398.0,1090.47,,private
3,250.0,365.14,,private
13,514.0,34.11,,private
5,481.0,285.05,,private
1,1037.0,2006.96,,private
7,172.0,2031.9,,private
1,83.0,1215.47,,private
13,343.0,660.97,,private
3,95.0,874.8,,private
5,517.0,770.83,,private
9,419.0,756.4,,private
9,195.0,2459.09,,private
10,922.0,1264.65,,private
12,1002.0,1807.74,,private
7,1150.0,1699.98,,private
1,1108.0,1294.75,,private
11,962.0,1478.25,,private
8,914.0,1964.3,,private
8,488.0,557.08,,private
1,391.0,2419.83,,private
4,250.0,693.46,,private
10,60.0,806.8,,private
3,924.0,2320.59,,private
8,607.0,698.48,,private
6,972.0,2183.79,,private
13,1005.0,834.83,,private
3,937.0,2272.37,,private
6,473.0,16.51,,private
12,487.0,1031.18,,private
11,883.0,251.1,,private
5,627.0,2240.75,,private
5,1200.0,1156.11,,private
14,620.0,1569.24,,private
7,1166.0,336.46,,private
7,810.0,1087.88,,private
5,286.0,599.71,,private
4,1182.0,1126.79,,private
2,153.0,2314.97,,private
6,1028.0,272.31,,private
13,268.0,1122.84,,private
3,307.0,1755.74,,private
11,313.0,2298.74,,private
10,791.0,1658.47,,private
9,471.0,330.38,,private
7,459.0,846.47,,private
8,341.0,1823.02,,private
6,191.0,501.66,,private
9,377.0,2425.88,,private
1,628.0,1581.87,,private
9,406.0,299.16,,private
10,997.0,881.4,,private
4,344.0,1710.78,,private
11,1117.0,1174.86,,private
1,149.0,2493.15,,private
4,202.0,138.02,,private
14,374.0,262.35,,private
4,369.0,2122.13,,private
11,1029.0,1950.14,,private
6,820.0,1917.58,,private
10,679.0,1753.2,,private
3,456.0,1404.93,,private
14,461.0,806.99,,private
7,462.0,2231.6,,private
6,526.0,2406.96,,private
3,276.0,2031.19,,private
8,20.0,1483.23,,private
13,627.0,1426.65,,private
1,670.0,1988.67,,private
10,383.0,2082.33,,private
3,296.0,2166.12,,private
12,163.0,2100.56,,private
13,771.0,2481.54,,private
12,1006.0,2480.21,,private
13,1011.0,844.18,,private
2,130.0,1977.52,,private
3,129.0,1010.9,,private
14,356.0,83.15,,private
8,52.0,1260.64,,private
6,255.0,1967.03,,private
13,269.0,213.95,,private
13,535.0,2048.26,,private
9,918.0,708.33,,private
4,733.0,375.04,,private
7,470.0,1247.13,,private
8,923.0,1106.17,,private
6,32.0,2298.24,,private
11,704.0,339.88,,private
8,795.0,82.82,,private
6,48.0,2272.74,,private
11,960.0,130.71,,private
9,336.0,51.53,,private
2,439.0,1975.43,,private
1,1179.0,677.79,,private
9,310.0,1042.56,,private
1,507.0,1860.17,,private
2,93.0,2129.84,,private
4,857.0,2032.03,,private
12,329.0,489.6,,private
10,787.0,605.54,,private
12,753.0,441.53,,private
2,1025.0,817.17,,private
7,51.0,2013.84,,private
8,779.0,2125.77,,private
5,537.0,196.09,,private
5,895.0,1337.73,,private
2,21.0,1580.31,,private
2,451.0,441.24,,private
4,370.0,1197.7,,private
2,926.0,682.45,,private
2,605.0,1778.58,,private
4,661.0,717.98,,private
12,114.0,2496.43,,private
10,989.0,401.78,,private
13,234.0,891.34,,private
4,270.0,1138.77,,private
5,958.0,2142.52,,private
12,578.0,218.37,,private
7,307.0,1920.85,,private
1,182.0,2201.62,,private
4,787.0,1789.88,,private
14,1077.0,2277.9,,private
10,1107.0,1335.84,,private
7,646.0,1312.27,,private
13,628.0,260.39,,private
2,662.0,272.79,,private
13,115.0,1660.5,,private
6,793.0,900.51,,private
8,103.0,2000.07,,private
2,710.0,1154.72,,private
9,488.0,2275.11,,private
8,928.0,1294.01,,private
3,920.0,1825.2,,private
7,19.0,1682.59,,private
5,168.0,2394.89,,private
6,457.0,698.73,,private
10,1122.0,1526.39,,private
14,459.0,2396.34,,private
10,1186.0,2275.97,,private
4,1062.0,731.35,,private
12,364.0,883.19,,private
13,634.0,836.91,,private
11,58.0,1441.81,,private
3,559.0,2262.05,,private
2,555.0,631.38,,private
7,979.0,2299.81,,private
5,109.0,1855.21,,private
14,103.0,1495.45,,private
1,763.0,1869.21,,private
14,75.0,302.17,,private
14,26.0,1762.67,,private
7,747.0,1416.67,,private
1,700.0,1774.48,,private
14,539.0,1580.25,,private
9,34.0,1728.98,,private
8,354.0,2465.96,,private
9,200.0,107.34,,private
2,685.0,1716.58,,private
12,1159.0,1415.93,,private
13,289.0,908.33,,private
12,607.0,957.66,,private
10,1151.0,1948.86,,private
5,885.0,1226.68,,private
3,958.0,1160.25,,private
14,326.0,1927.37,,private
3,921.0,1199.16,,private
3,848.0,2007.92,,private
9,122.0,1236.33,,private
2,1182.0,1586.03,,private
12,418.0,1040.68,,private
11,1174.0,1029.91,,private
9,493.0,209.28,,private
4,648.0,212.45,,private
11,987.0,874.72,,private
6,38.0,2065.07,,private
11,907.0,439.28,,private
4,79.0,138.46,,private
1,907.0,1381.15,,private
10,175.0,399.05,,private
5,557.0,561.83,,private
14,313.0,1576.35,,private
2,982.0,668.62,,private
3,961.0,2337.89,,private
5,862.0,2197.62,,private
8,896.0,2494.5,,private
9,226.0,1018.54,,private
12,667.0,1746.16,,private
14,570.0,633.94,,private
11,628.0,244.77,,private
8,480.0,1178.35,,private
13,848.0,1007.82,,private
6,139.0,1853.11,,private
12,84.0,1947.11,,private
10,322.0,1954.49,,private
12,1202.0,47.09,,private
1,175.0,988.5,,private
8,639.0,1078.71,,private
3,957.0,1583.91,,private
2,977.0,949.8,,private
8,52.0,1503.66,,private
12,252.0,2019.55,,private
5,397.0,2364.04,,private
2,43.0,2170.63,,private
11,405.0,1311.09,,private
4,464.0,1411.68,,private
7,343.0,2011.58,,private
12,487.0,1505.94,,private
4,193.0,1004.75,,private
13,576.0,1807.79,,private
3,845.0,1212.19,,private
11,903.0,2039.87,,private
6,869.0,110.72,,private
8,1031.0,1289.16,,private
6,748.0,1057.75,,private
13,1197.0,2139.22,,private
1,1150.0,1081.28,,private
9,818.0,289.89,,private
13,655.0,1479.98,,private
13,238.0,1507.89,,private
6,98.0,2004.13,,private
3,205.0,898.92,,private
2,1196.0,1017.47,,private
9,1120.0,2050.66,,private
4,488.0,2430.04,,private
9,532.0,2476.61,,private
3,493.0,1421.2,,private
2,304.0,302.32,,private
7,536.0,2253.63,,private
8,183.0,804.61,,private
4,57.0,1647.63,,private
7,1125.0,463.35,,private
13,1121.0,1182.53,,private
2,208.0,1816.26,,private
1,839.0,1747.73,,private
12,94.0,1716.53,,private
13,244.0,561.64,,private
2,894.0,287.48,,private
12,453.0,840.07,,private
6,269.0,1184.94,,private
1,953.0,1516.77,,private
9,122.0,2085.35,,private
10,470.0,539.81,,private
1,951.0,841.82,,private
8,200.0,1406.73,,private
4,1021.0,985.65,,private
3,1115.0,2031.4,,private
1,1183.0,2400.74,,private
11,1088.0,2089.02,,private
7,708.0,915.33,,private
1,439.0,1543.0,,private
4,968.0,478.19,,private
3,1049.0,1348.38,,private
12,394.0,1642.37,,private
10,479.0,1204.02,,private
1,957.0,2001.22,,private
2,904.0,2055.61,,private
4,654.0,78.49,,private
14,982.0,554.99,,private
14,254.0,136.32,,private
1,938.0,591.86,,private
1,584.0,1935.55,,private
14,1135.0,594.91,,private
10,282.0,2455.51,,private
8,963.0,1811.22,,private
8,987.0,487.93,,private
12,255.0,1349.04,,private
8,600.0,9.34,,private
11,11.0,1449.22,,private
14,335.0,1940.42,,private
1,314.0,1228.63,,private
14,709.0,1336.33,,private
10,964.0,416.03,,private
10,855.0,1111.35,,private
5,288.0,267.07,,private
5,143.0,385.25,,private
3,907.0,1435.63,,private
10,644.0,408.5,,private
12,728.0,2430.88,,private
7,220.0,914.34,,private
12,1047.0,2372.76,,private
6,577.0,1406.16,,private
5,232.0,1362.3,,private
8,657.0,2033.04,,private
1,205.0,2271.51,,private
10,375.0,419.63,,private
12,847.0,2418.87,,private
14,195.0,1161.66,,private
8,45.0,207.78,,private
1,307.0,1916.15,,private
6,389.0,244.11,,private
1,951.0,878.61,,private
6,450.0,494.88,,private
2,670.0,1659.62,,private
14,77.0,956.42,,private
6,135.0,2059.96,,private
7,991.0,1019.58,,private
4,241.0,536.45,,private
5,171.0,721.03,,private
2,281.0,604.26,,private
13,761.0,525.21,,private
8,853.0,178.69,,private
9,143.0,2409.24,,private
12,410.0,346.61,,private
13,1194.0,1658.45,,private
10,224.0,2252.51,,private
1,334.0,29.88,,private
2,1010.0,2136.19,,private
3,49.0,1490.26,,private
8,93.0,326.83,,private
10,885.0,345.37,,private
8,15.0,1927.26,,private
10,356.0,464.56,,private
10,785.0,1660.56,,private
14,255.0,2499.49,,private
12,1058.0,791.78,,private
4,381.0,681.79,,private
2,353.0,208.51,,private
9,57.0,1218.18,,private
14,168.0,576.18,,private
8,1118.0,668.88,,private
9,235.0,1229.26,,private
1,93.0,2433.19,,private
4,1172.0,2415.18,,private
3,167.0,99.39,,private
4,350.0,84.6,,private
5,1072.0,2278.13,,private
9,669.0,1220.32,,private
5,574.0,33.78,,private
2,26.0,960.9,,private
2,751.0,902.76,,private
8,38.0,1618.13,,private
9,399.0,1059.51,,private
2,537.0,1884.35,,private
10,763.0,1923.7,,private
1,573.0,182.24,,private
2,267.0,2462.62,,private
7,437.0,242.43,,private
7,468.0,1178.59,,private
12,229.0,1191.87,,private
12,476.0,1589.08,,private
11,247.0,1329.13,,private
3,1120.0,2437.33,,private
11,742.0,1569.42,,private
3,397.0,2003.96,,private
13,670.0,1553.47,,private
1,425.0,2292.36,,private
11,135.0,2220.48,,private
14,20.0,241.91,,private
7,581.0,990.82,,private
14,812.0,450.11,,private
9,56.0,567.31,,private
7,277.0,2478.07,,private
7,402.0,2432.25,,private
5,522.0,1530.52,,private
5,1081.0,1311.05,,private
12,1027.0,548.01,,private
12,275.0,2354.38,,private
4,288.0,2038.13,,private
13,586.0,115.09,,private
3,527.0,1182.56,,private
5,881.0,646.59,,private
13,150.0,289.93,,private
5,860.0,1866.25,,private
4,725.0,2087.26,,private
7,436.0,1116.61,,private
14,530.0,655.51,,private
14,1054.0,1816.81,,private
6,1166.0,2343.86,,private
11,722.0,2474.54,,private
3,201.0,261.52,,private
10,957.0,132.57,,private
6,714.0,681.67,,private
14,1012.0,1824.19,,private
7,314.0,1341.75,,private
6,1010.0,173.28,,private
2,943.0,1876.23,,private
2,900.0,698.52,,private
11,831.0,1551.61,,private
12,446.0,2318.21,,private
11,1149.0,1098.46,,private
4,959.0,1978.22,,private
13,756.0,650.74,,private
12,94.0,572.92,,private
14,1109.0,2097.26,,private
7,689.0,1833.03,,private
5,27.0,321.49,,private
4,620.0,977.92,,private
9,401.0,437.98,,private
2,359.0,1980.32,,private
4,1150.0,1137.87,,private
6,48.0,2217.52,,private
6,448.0,1102.5,,private
9,613.0,1374.8,,private
11,155.0,1045.41,,private
11,892.0,1170.9,,private
1,1187.0,1878.45,,private
2,93.0,1205.92,,private
3,769.0,1168.99,,private
10,526.0,1171.27,,private
3,846.0,481.33,,private
12,160.0,987.85,,private
3,966.0,2347.12,,private
11,129.0,696.05,,private
2,695.0,189.18,,private
5,482.0,442.34,,private
7,235.0,1036.95,,private
3,1106.0,761.82,,private
10,468.0,1190.58,,private
10,607.0,350.54,,private
7,755.0,2335.81,,private
12,182.0,1541.63,,private
1,505.0,695.44,,private
8,342.0,2207.93,,private
2,692.0,1665.46,,private
11,545.0,857.08,,private
5,780.0,783.5,,private
2,535.0,1276.57,,private
6,764.0,1981.09,,private
3,737.0,1747.96,,private
12,737.0,1648.85,,private
13,1101.0,1665.9,,private
13,521.0,1956.1,,private
6,920.0,908.17,,private
4,97.0,1733.84,,private
14,165.0,604.66,,private
8,40.0,2497.08,,private
6,25.0,1873.73,,private
6,631.0,1804.44,,private
5,856.0,1881.85,,private
1,1125.0,251.52,,private
6,944.0,1419.27,,private
10,884.0,1375.26,,private
13,929.0,895.25,,private
7,615.0,1725.6,,private
2,258.0,1851.67,,private
1,778.0,1401.91,,private
6,909.0,483.15,,private
2,398.0,1146.6,,private
12,415.0,1735.36,,private
5,267.0,467.5,,private
3,38.0,134.2,,private
4,981.0,512.32,,private
5,191.0,281.27,,private
12,1006.0,27.76,,private
9,672.0,280.93,,private
8,433.0,494.58,,private
2,1053.0,247.51,,private
12,252.0,72.79,,private
9,1014.0,726.81,,private
2,1143.0,1090.56,,private
9,27.0,124.64,,private
14,440.0,492.03,,private
7,996.0,917.37,,private
9,400.0,348.29,,private
14,153.0,1648.37,,private
14,325.0,1917.94,,private
6,991.0,762.36,,private
7,601.0,2084.07,,private
4,66.0,193.47,,private
4,281.0,2237.36,,private
8,1184.0,559.23,,private
3,806.0,603.44,,private
5,933.0,684.4,,private
5,64.0,1925.94,,private
2,10.0,2468.9,,private
13,633.0,1913.2,,private
1,1174.0,2014.99,,private
5,273.0,2051.57,,private
6,258.0,388.32,,private
14,1010.0,1197.93,,private
2,76.0,1863.02,,private
11,980.0,1304.45,,private
14,456.0,55.16,,private
4,196.0,1594.87,,private
8,669.0,704.06,,private
12,413.0,1099.97,,private
4,505.0,305.45,,private
8,38.0,1163.2,,private
2,388.0,357.87,,private
1,1026.0,1731.84,,private
5,1046.0,1420.76,,private
12,955.0,2030.96,,private
2,402.0,532.3,,private
8,875.0,2382.09,,private
1,763.0,579.11,,private
12,297.0,607.34,,private
10,380.0,623.88,,private
9,1040.0,202.57,,private
12,364.0,2358.68,,private
1,685.0,2423.88,,private
4,465.0,2200.53,,private
8,496.0,2492.47,,private
8,378.0,540.54,,private
10,9.0,75.85,,private
6,760.0,598.96,,private
14,539.0,1339.42,,private
13,320.0,1637.62,,private
11,760.0,222.95,,private
7,1185.0,1309.04,,private
14,790.0,2301.5,,private
11,258.0,1856.19,,private
5,342.0,753.55,,private
6,193.0,1987.01,,private
3,1136.0,2213.6,,private
7,193.0,539.76,,private
6,495.0,1597.88,,private
9,495.0,735.61,,private
7,745.0,1028.31,,private
14,1035.0,144.92,,private
9,775.0,747.08,,private
12,27.0,1678.69,,private
13,991.0,566.14,,private
9,1064.0,556.11,,private
10,620.0,2182.45,,private
14,26.0,2032.26,,private
11,250.0,2303.63,,private
4,337.0,1551.02,,private
2,115.0,1426.07,,private
5,372.0,1950.43,,private
11,884.0,2184.96,,private
1,97.0,1248.7,,private
11,391.0,1690.8,,private
7,232.0,848.84,,private
12,240.0,319.22,,private
14,50.0,1216.45,,private
13,345.0,1002.51,,private
13,597.0,1538.32,,private
14,42.0,540.45,,private
13,556.0,220.52,,private
13,435.0,552.1,,private
9,773.0,382.58,,private
7,939.0,2321.24,,private
12,321.0,790.83,,private
14,883.0,1991.8,,private
4,269.0,254.42,,private
2,376.0,2468.65,,private
4,1068.0,998.25,,private
12,876.0,488.6,,private
8,929.0,687.79,,private
6,810.0,1597.46,,private
14,863.0,1036.23,,private
5,345.0,2089.38,,private
2,51.0,1965.74,,private
1,527.0,2167.9,,private
5,1203.0,1618.95,,private
7,1043.0,1087.28,,private
2,114.0,585.19,,private
7,1086.0,1548.12,,private
8,350.0,101.95,,private
4,102.0,882.32,,private
13,145.0,1949.63,,private
12,420.0,287.26,,private
3,595.0,2212.22,,private
1,1064.0,124.37,,private
7,1007.0,2153.18,,private
3,919.0,2393.78,,private
13,723.0,1900.1,,private
14,737.0,1580.84,,private
9,457.0,847.77,,private
7,463.0,1793.96,,private
3,811.0,2340.91,,private
14,759.0,1652.93,,private
4,984.0,2065.77,,private
6,5.0,2166.25,,private
6,489.0,410.91,,private
10,384.0,163.08,,private
5,559.0,1368.42,,private
2,815.0,587.78,,private
11,456.0,1610.88,,private
13,521.0,791.92,,private
2,397.0,2236.31,,private
14,1052.0,1173.38,,private
11,171.0,2091.98,,private
9,474.0,1703.77,,private
8,373.0,1794.87,,private
7,972.0,222.91,,private
13,426.0,2364.09,,private
6,690.0,2226.09,,private
14,566.0,2164.53,,private
6,123.0,250.62,,private
12,448.0,241.75,,private
5,84.0,850.76,,private
8,676.0,946.0,,private
6,1012.0,2127.0,,private
9,756.0,1860.43,,private
8,192.0,2278.86,,private
14,693.0,1162.36,,private
11,167.0,1650.67,,private
4,386.0,1653.51,,private
6,372.0,1700.9,,private
6,669.0,1709.68,,private
3,949.0,2352.16,,private
13,950.0,944.6,,private
12,406.0,206.15,,private
5,375.0,1068.58,,private
2,406.0,861.17,,private
9,724.0,1777.16,,private
12,166.0,1298.49,,private
5,839.0,1582.38,,private
2,784.0,336.59,,private
6,600.0,863.0,,private
11,87.0,483.93,,private
2,129.0,1411.96,,private
3,42.0,1483.93,,private
1,1132.0,966.51,,private
3,339.0,90.94,,private
2,692.0,1370.0,,private
2,879.0,1122.19,,private
6,395.0,2242.9,,private
1,142.0,1686.33,,private
1,547.0,718.83,,private
1,5.0,2465.44,,private
10,489.0,2089.81,,private
1,1125.0,62.49,,private
3,340.0,622.45,,private
11,218.0,1930.88,,private
5,994.0,1746.53,,private
14,817.0,252.07,,private
14,57.0,1555.07,,private
5,581.0,2398.47,,private
5,1012.0,1998.03,,private
6,402.0,1847.32,,private
5,598.0,2046.02,,private
6,522.0,1846.9,,private
2,565.0,1354.23,,private
12,475.0,1760.23,,private
10,235.0,1908.0,,private
6,647.0,742.82,,private
3,681.0,417.43,,private
12,575.0,225.66,,private
10,704.0,407.08,,private
4,482.0,1632.64,,private
6,114.0,202.02,,private
3,924.0,1908.7,,private
11,868.0,1119.83,,private
5,1158.0,1243.58,,private
3,207.0,2413.5,,private
7,1049.0,666.36,,private
11,393.0,324.73,,private
13,152.0,2204.34,,private
13,1080.0,1339.97,,private
6,20.0,1553.83,,private
8,867.0,458.73,,private
11,821.0,2062.85,,private
2,196.0,1253.07,,private
6,178.0,1057.0,,private
6,126.0,1465.52,,private
4,1138.0,1389.01,,private
6,660.0,360.19,,private
1,962.0,933.13,,private
7,1003.0,2061.37,,private
8,1189.0,828.62,,private
7,1150.0,1819.28,,private
1,1071.0,2492.84,,private
7,324.0,2287.77,,private
7,786.0,2434.4,,private
6,570.0,1650.91,,private
13,746.0,1891.31,,private
14,94.0,1236.9,,private
14,819.0,769.01,,private
5,834.0,1426.61,,private
3,315.0,1518.61,,private
11,676.0,1814.38,,private
1,944.0,1843.46,,private
6,309.0,1725.42,,private
10,954.0,526.79,,private
2,734.0,1928.85,,private
2,1183.0,2210.85,,private
3,671.0,1408.73,,private
13,117.0,438.49,,private
2,895.0,227.1,,private
5,709.0,2332.09,,private
10,391.0,2360.12,,private
2,93.0,1404.2,,private
1,306.0,1232.02,,private
11,678.0,181.13,,private
8,232.0,1629.16,,private
13,118.0,786.78,,private
2,601.0,345.56,,private
3,854.0,28.92,,private
8,388.0,2026.62,,private
5,1076.0,1768.72,,private
13,693.0,737.48,,private
6,31.0,2433.74,,private
13,1126.0,2130.1,,private
10,1044.0,1778.3,,private
13,995.0,977.22,,private
9,957.0,434.3,,private
4,1020.0,1098.21,,private
9,682.0,226.49,,private
4,41.0,2157.93,,private
11,366.0,561.47,,private
6,1003.0,2364.33,,private
1,712.0,533.19,,private
7,753.0,992.95,,private
2,40.0,1208.23,,private
13,28.0,1442.51,,private
10,866.0,1723.99,,private
1,709.0,1856.15,,private
11,88.0,1886.62,,private
3,1067.0,661.38,,private
3,687.0,2167.43,,private
13,165.0,2116.28,,private
2,556.0,339.52,,private
7,194.0,1086.92,,private
1,486.0,1923.41,,private
12,1135.0,490.97,,private
13,1082.0,455.67,,private
5,435.0,1559.16,,private
3,1140.0,46.71,,private
3,264.0,2367.19,,private
11,809.0,784.4,,private
2,25.0,28.56,,private
5,583.0,130.4,,private
8,1198.0,965.46,,private
8,362.0,1696.9,,private
1,1036.0,693.83,,private
12,732.0,191.77,,private
7,779.0,1994.95,,private
3,501.0,456.95,,private
6,261.0,308.11,,private
7,1097.0,902.92,,private
12,335.0,1933.64,,private
5,732.0,1868.89,,private
8,903.0,1538.82,,private
11,1155.0,2427.34,,private
1,532.0,2093.51,,private
12,901.0,687.17,,private
14,726.0,199.77,,private
7,851.0,2344.0,,private
8,718.0,1873.02,,private
4,672.0,2018.44,,private
5,549.0,2148.52,,private
14,1181.0,907.21,,private
8,46.0,305.14,,private
13,164.0,1394.17,,private
5,182.0,1152.56,,private
12,837.0,710.51,,private
3,778.0,2149.56,,private
4,1103.0,45.53,,private
11,965.0,364.3,,private
13,323.0,980.81,,private
7,25.0,1970.35,,private
4,929.0,213.35,,private
3,413.0,2200.26,,private
11,952.0,1758.23,,private
4,1147.0,1045.94,,private
11,349.0,252.9,,private
5,447.0,1243.44,,private
9,385.0,973.11,,private
7,626.0,1147.75,,private
9,991.0,1671.4,,private
11,720.0,1355.82,,private
3,543.0,155.31,,private
2,79.0,116.49,,private
4,485.0,593.34,,private
7,617.0,1410.67,,private
13,247.0,2003.32,,private
8,963.0,1851.99,,private
10,376.0,1240.59,,private
5,779.0,1000.15,,private
12,783.0,2313.94,,private
10,698.0,2451.7,,private
12,462.0,1878.35,,private
1,842.0,457.85,,private
14,820.0,938.43,,private
8,849.0,1321.2,,private
6,178.0,2420.59,,private
8,838.0,2415.72,,private
14,566.0,1662.61,,private
6,63.0,1245.98,,private
12,761.0,1828.17,,private
5,120.0,1727.74,,private
10,16.0,888.4,,private
7,248.0,1113.56,,private
4,890.0,476.83,,private
7,622.0,1194.22,,private
3,923.0,1970.43,,private
6,775.0,2017.53,,private
8,50.0,927.05,,private
11,1052.0,605.34,,private
1,264.0,322.0,,private
12,642.0,1615.07,,private
3,424.0,2165.02,,private
1,765.0,1960.15,,private
6,87.0,133.24,,private
5,785.0,150.66,,private
14,257.0,1814.05,,private
8,557.0,2149.09,,private
13,245.0,2354.78,,private
12,415.0,207.73,,private
14,436.0,2325.48,,private
2,898.0,1142.71,,private
6,267.0,575.33,,private
11,824.0,1183.56,,private
12,871.0,441.38,,private
7,427.0,538.91,,private
1,544.0,711.82,,private
2,537.0,1086.81,,private
6,1193.0,1490.92,,private
8,1153.0,1552.2,,private
9,65.0,1102.55,,private
2,42.0,748.7,,private
14,557.0,19.78,,private
1,144.0,1298.18,,private
1,944.0,810.58,,private
12,384.0,2487.62,,private
11,950.0,40.46,,private
8,1165.0,502.38,,private
2,421.0,1571.09,,private
